hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir,N,S,E,W,Date
2,143.0,-1,4.0,1027.0,0.89,0,0,1,0,1,0,2011-04-03 02:00:00
3,186.0,-1,2.0,1027.0,3.13,0,0,1,0,0,1,2011-04-03 03:00:00
4,167.0,-2,3.0,1027.0,4.92,0,0,1,0,0,1,2011-04-03 04:00:00
5,184.0,-2,2.0,1027.0,6.71,0,0,1,0,0,1,2011-04-03 05:00:00
6,172.0,-5,0.0,1027.0,9.84,0,0,1,0,0,1,2011-04-03 06:00:00
7,149.0,-5,3.0,1028.0,13.86,0,0,1,0,0,1,2011-04-03 07:00:00
8,156.0,-7,8.0,1028.0,16.99,0,0,1,0,0,1,2011-04-03 08:00:00
9,144.0,-10,11.0,1028.0,21.01,0,0,1,0,0,1,2011-04-03 09:00:00
10,135.0,-10,13.0,1028.0,25.03,0,0,1,0,0,1,2011-04-03 10:00:00
11,94.0,-12,15.0,1027.0,29.05,0,0,1,0,0,1,2011-04-03 11:00:00
12,105.0,-14,17.0,1026.0,32.18,0,0,1,0,0,1,2011-04-03 12:00:00
13,50.0,-13,17.0,1024.0,1.79,0,0,0,0,0,0,2011-04-03 13:00:00
14,167.0,-13,18.0,1024.0,4.02,0,0,1,0,0,1,2011-04-03 14:00:00
15,138.0,-14,18.0,1022.0,7.15,0,0,1,0,0,1,2011-04-03 15:00:00
16,170.0,-13,19.0,1022.0,1.79,0,0,0,0,0,0,2011-04-03 16:00:00
17,89.0,-14,18.0,1021.0,4.02,0,0,0,1,1,0,2011-04-03 17:00:00
18,108.0,-13,17.0,1021.0,8.04,0,0,0,1,1,0,2011-04-03 18:00:00
19,,-12,16.0,1021.0,12.96,0,0,0,1,1,0,2011-04-03 19:00:00
20,,-10,15.0,1022.0,17.88,0,0,0,1,1,0,2011-04-03 20:00:00
21,,-9,14.0,1022.0,21.9,0,0,0,1,1,0,2011-04-03 21:00:00
22,,-8,13.0,1023.0,25.92,0,0,0,1,1,0,2011-04-03 22:00:00
23,86.0,-7,13.0,1023.0,29.05,0,0,0,1,1,0,2011-04-03 23:00:00
0,65.0,-7,11.0,1023.0,32.18,0,0,0,1,1,0,2011-04-04 00:00:00
1,88.0,-4,7.0,1023.0,0.89,0,0,0,0,0,0,2011-04-04 01:00:00
2,80.0,-3,6.0,1023.0,1.34,0,0,0,0,0,0,2011-04-04 02:00:00
3,125.0,-5,5.0,1023.0,0.89,0,0,1,0,0,1,2011-04-04 03:00:00
4,123.0,-5,4.0,1023.0,1.78,0,0,1,0,0,1,2011-04-04 04:00:00
5,151.0,-6,5.0,1023.0,3.57,0,0,1,0,0,1,2011-04-04 05:00:00
6,174.0,-5,3.0,1024.0,4.46,0,0,1,0,0,1,2011-04-04 06:00:00
7,241.0,-6,6.0,1025.0,5.35,0,0,1,0,0,1,2011-04-04 07:00:00
8,132.0,-9,10.0,1025.0,7.14,0,0,1,0,0,1,2011-04-04 08:00:00
9,159.0,-8,14.0,1025.0,1.79,0,0,0,0,0,0,2011-04-04 09:00:00
10,138.0,-8,16.0,1026.0,1.79,0,0,1,0,0,1,2011-04-04 10:00:00
11,177.0,-9,17.0,1025.0,3.58,0,0,1,0,0,1,2011-04-04 11:00:00
12,149.0,-8,20.0,1024.0,3.13,0,0,0,1,1,0,2011-04-04 12:00:00
13,192.0,-9,20.0,1023.0,7.15,0,0,0,1,1,0,2011-04-04 13:00:00
14,171.0,-9,21.0,1022.0,11.17,0,0,0,1,1,0,2011-04-04 14:00:00
15,211.0,-9,22.0,1021.0,15.19,0,0,0,1,1,0,2011-04-04 15:00:00
16,124.0,-11,21.0,1021.0,21.0,0,0,0,1,1,0,2011-04-04 16:00:00
17,170.0,-11,20.0,1020.0,26.81,0,0,0,1,1,0,2011-04-04 17:00:00
18,52.0,-12,18.0,1021.0,31.73,0,0,0,1,1,0,2011-04-04 18:00:00
19,22.0,-12,15.0,1021.0,35.75,0,0,0,1,1,0,2011-04-04 19:00:00
20,17.0,-10,13.0,1022.0,39.77,0,0,0,1,1,0,2011-04-04 20:00:00
21,54.0,-9,14.0,1022.0,43.79,0,0,0,1,1,0,2011-04-04 21:00:00
22,59.0,-8,13.0,1023.0,47.81,0,0,0,1,1,0,2011-04-04 22:00:00
23,150.0,-8,12.0,1023.0,50.94,0,0,0,1,1,0,2011-04-04 23:00:00
0,146.0,-7,11.0,1024.0,54.07,0,0,0,1,1,0,2011-04-05 00:00:00
1,154.0,-7,10.0,1024.0,57.2,0,0,0,1,1,0,2011-04-05 01:00:00
2,166.0,-7,8.0,1023.0,58.99,0,0,0,1,1,0,2011-04-05 02:00:00
3,164.0,-6,8.0,1023.0,60.78,0,0,0,1,1,0,2011-04-05 03:00:00
4,191.0,-6,7.0,1024.0,62.57,0,0,0,1,1,0,2011-04-05 04:00:00
5,152.0,-5,5.0,1023.0,64.36,0,0,0,1,1,0,2011-04-05 05:00:00
6,160.0,-5,3.0,1024.0,0.89,0,0,0,0,0,0,2011-04-05 06:00:00
7,254.0,-1,5.0,1024.0,0.89,0,0,0,1,1,0,2011-04-05 07:00:00
8,231.0,-3,11.0,1025.0,2.68,0,0,0,1,1,0,2011-04-05 08:00:00
9,254.0,-4,14.0,1025.0,4.47,0,0,0,1,1,0,2011-04-05 09:00:00
10,277.0,-5,17.0,1025.0,10.28,0,0,0,1,1,0,2011-04-05 10:00:00
11,207.0,-4,17.0,1025.0,18.33,0,0,0,1,1,0,2011-04-05 11:00:00
12,218.0,-4,18.0,1024.0,25.48,0,0,0,1,1,0,2011-04-05 12:00:00
13,264.0,-5,18.0,1023.0,30.4,0,0,0,1,1,0,2011-04-05 13:00:00
14,227.0,-7,18.0,1022.0,38.45,0,0,0,1,1,0,2011-04-05 14:00:00
15,188.0,-5,18.0,1020.0,45.6,0,0,0,1,1,0,2011-04-05 15:00:00
16,253.0,-4,18.0,1019.0,52.75,0,0,0,1,1,0,2011-04-05 16:00:00
17,227.0,-5,17.0,1019.0,57.67,0,0,0,1,1,0,2011-04-05 17:00:00
18,166.0,-5,16.0,1019.0,62.59,0,0,0,1,1,0,2011-04-05 18:00:00
19,143.0,-5,15.0,1018.0,65.72,0,0,0,1,1,0,2011-04-05 19:00:00
20,184.0,-4,15.0,1019.0,67.51,0,0,0,1,1,0,2011-04-05 20:00:00
21,246.0,-4,15.0,1019.0,71.53,0,0,0,1,1,0,2011-04-05 21:00:00
22,279.0,-4,14.0,1019.0,75.55,0,0,0,1,1,0,2011-04-05 22:00:00
23,233.0,-3,13.0,1019.0,77.34,0,0,0,1,1,0,2011-04-05 23:00:00
0,220.0,-3,12.0,1019.0,80.47,0,0,0,1,1,0,2011-04-06 00:00:00
1,190.0,0,12.0,1019.0,83.6,0,0,0,1,1,0,2011-04-06 01:00:00
2,196.0,-3,13.0,1018.0,89.41,0,0,0,1,1,0,2011-04-06 02:00:00
3,96.0,-3,14.0,1019.0,94.33,0,0,0,1,1,0,2011-04-06 03:00:00
4,103.0,1,12.0,1018.0,100.14,0,1,0,1,1,0,2011-04-06 04:00:00
5,94.0,1,11.0,1017.0,0.89,0,2,0,0,0,0,2011-04-06 05:00:00
6,120.0,1,10.0,1017.0,1.78,0,0,0,0,0,0,2011-04-06 06:00:00
7,77.0,2,10.0,1017.0,0.89,0,0,0,1,1,0,2011-04-06 07:00:00
8,158.0,2,11.0,1017.0,1.78,0,0,0,1,1,0,2011-04-06 08:00:00
9,169.0,2,13.0,1017.0,4.91,0,0,0,1,1,0,2011-04-06 09:00:00
10,,2,14.0,1017.0,9.83,0,0,0,1,1,0,2011-04-06 10:00:00
11,,2,14.0,1017.0,15.64,0,0,0,1,1,0,2011-04-06 11:00:00
12,,3,15.0,1016.0,20.56,0,0,0,1,1,0,2011-04-06 12:00:00
13,,4,16.0,1015.0,25.48,0,0,0,1,1,0,2011-04-06 13:00:00
14,,3,17.0,1015.0,30.4,0,0,0,1,1,0,2011-04-06 14:00:00
15,,3,18.0,1014.0,34.42,0,0,0,1,1,0,2011-04-06 15:00:00
16,,3,17.0,1013.0,39.34,0,0,0,1,1,0,2011-04-06 16:00:00
17,,3,17.0,1013.0,44.26,0,0,0,1,1,0,2011-04-06 17:00:00
18,,4,15.0,1013.0,48.28,0,0,0,1,1,0,2011-04-06 18:00:00
19,,4,13.0,1014.0,52.3,0,0,0,1,1,0,2011-04-06 19:00:00
20,,4,14.0,1014.0,54.09,0,0,0,1,1,0,2011-04-06 20:00:00
21,,4,12.0,1015.0,55.88,0,0,0,1,1,0,2011-04-06 21:00:00
22,,4,11.0,1015.0,57.67,0,0,0,1,1,0,2011-04-06 22:00:00
23,,4,11.0,1015.0,59.46,0,0,0,1,1,0,2011-04-06 23:00:00
0,,4,11.0,1015.0,61.25,0,0,0,1,1,0,2011-04-07 00:00:00
1,,4,10.0,1015.0,63.04,0,0,0,1,1,0,2011-04-07 01:00:00
2,,4,9.0,1015.0,1.79,0,0,1,0,1,0,2011-04-07 02:00:00
3,,5,9.0,1015.0,1.79,0,0,0,1,1,0,2011-04-07 03:00:00
4,,5,9.0,1016.0,1.79,0,0,1,0,0,1,2011-04-07 04:00:00
5,,5,8.0,1016.0,0.89,0,0,0,0,0,0,2011-04-07 05:00:00
6,,6,9.0,1016.0,3.13,0,0,1,0,0,1,2011-04-07 06:00:00
7,,3,12.0,1018.0,8.94,0,0,1,0,0,1,2011-04-07 07:00:00
8,,-2,13.0,1019.0,14.75,0,0,1,0,0,1,2011-04-07 08:00:00
9,,-9,14.0,1019.0,22.8,0,0,1,0,0,1,2011-04-07 09:00:00
10,,-8,15.0,1020.0,29.95,0,0,1,0,0,1,2011-04-07 10:00:00
11,,-11,17.0,1019.0,37.1,0,0,1,0,0,1,2011-04-07 11:00:00
12,,-13,18.0,1018.0,45.15,0,0,1,0,0,1,2011-04-07 12:00:00
13,,-13,18.0,1017.0,50.96,0,0,1,0,0,1,2011-04-07 13:00:00
14,,-13,20.0,1017.0,60.79,0,0,1,0,0,1,2011-04-07 14:00:00
15,,-14,20.0,1016.0,72.86,0,0,1,0,0,1,2011-04-07 15:00:00
16,,-14,19.0,1016.0,84.04,0,0,1,0,0,1,2011-04-07 16:00:00
17,,-14,18.0,1017.0,96.11,0,0,1,0,0,1,2011-04-07 17:00:00
18,,-15,17.0,1018.0,105.05,0,0,1,0,0,1,2011-04-07 18:00:00
19,,-14,16.0,1019.0,113.99,0,0,1,0,0,1,2011-04-07 19:00:00
20,,-14,15.0,1021.0,121.14,0,0,1,0,0,1,2011-04-07 20:00:00
21,,-14,12.0,1022.0,126.06,0,0,1,0,0,1,2011-04-07 21:00:00
22,,-13,11.0,1022.0,129.19,0,0,1,0,0,1,2011-04-07 22:00:00
23,,-13,10.0,1023.0,130.98,0,0,1,0,0,1,2011-04-07 23:00:00
0,,-13,8.0,1023.0,132.77,0,0,1,0,0,1,2011-04-08 00:00:00
1,,-10,6.0,1023.0,0.89,0,0,0,0,0,0,2011-04-08 01:00:00
2,,-10,8.0,1022.0,0.89,0,0,1,0,0,1,2011-04-08 02:00:00
3,,-9,5.0,1022.0,0.89,0,0,0,0,0,0,2011-04-08 03:00:00
4,,-8,4.0,1022.0,0.89,0,0,1,0,1,0,2011-04-08 04:00:00
5,,-5,3.0,1022.0,0.89,0,0,0,0,0,0,2011-04-08 05:00:00
6,,-9,3.0,1022.0,0.89,0,0,1,0,0,1,2011-04-08 06:00:00
7,,-8,7.0,1023.0,0.89,0,0,0,0,0,0,2011-04-08 07:00:00
8,,-11,11.0,1023.0,1.79,0,0,1,0,0,1,2011-04-08 08:00:00
9,,-10,14.0,1023.0,0.89,0,0,0,0,0,0,2011-04-08 09:00:00
10,,-12,18.0,1021.0,7.15,0,0,0,1,1,0,2011-04-08 10:00:00
11,,-12,18.0,1021.0,14.3,0,0,0,1,1,0,2011-04-08 11:00:00
12,,-12,19.0,1019.0,21.45,0,0,0,1,1,0,2011-04-08 12:00:00
13,,-12,20.0,1018.0,27.26,0,0,0,1,1,0,2011-04-08 13:00:00
14,24.0,-11,20.0,1017.0,32.18,0,0,0,1,1,0,2011-04-08 14:00:00
15,27.0,-11,20.0,1015.0,36.2,0,0,0,1,1,0,2011-04-08 15:00:00
16,39.0,-10,20.0,1014.0,42.01,0,0,0,1,1,0,2011-04-08 16:00:00
17,,-11,19.0,1014.0,49.16,0,0,0,1,1,0,2011-04-08 17:00:00
18,,-10,18.0,1014.0,56.31,0,0,0,1,1,0,2011-04-08 18:00:00
19,,-10,16.0,1014.0,61.23,0,0,0,1,1,0,2011-04-08 19:00:00
20,,-9,14.0,1015.0,64.36,0,0,0,1,1,0,2011-04-08 20:00:00
21,,-7,15.0,1015.0,67.49,0,0,0,1,1,0,2011-04-08 21:00:00
22,,-6,16.0,1015.0,72.41,0,0,0,1,1,0,2011-04-08 22:00:00
23,,-6,16.0,1015.0,77.33,0,0,0,1,1,0,2011-04-08 23:00:00
0,69.0,-6,13.0,1014.0,79.12,0,0,0,1,1,0,2011-04-09 00:00:00
1,,-4,9.0,1014.0,82.25,0,0,0,1,1,0,2011-04-09 01:00:00
2,,-3,10.0,1013.0,0.89,0,0,0,0,0,0,2011-04-09 02:00:00
3,,-3,9.0,1013.0,1.78,0,0,0,0,0,0,2011-04-09 03:00:00
4,,-3,7.0,1013.0,2.67,0,0,0,0,0,0,2011-04-09 04:00:00
5,,-4,6.0,1013.0,3.56,0,0,0,0,0,0,2011-04-09 05:00:00
6,,-3,6.0,1013.0,4.45,0,0,0,0,0,0,2011-04-09 06:00:00
7,,-2,7.0,1014.0,0.89,0,0,1,0,0,1,2011-04-09 07:00:00
8,,-3,12.0,1014.0,1.79,0,0,1,0,1,0,2011-04-09 08:00:00
9,,-3,15.0,1014.0,0.89,0,0,0,0,0,0,2011-04-09 09:00:00
10,,-2,17.0,1014.0,1.78,0,0,0,0,0,0,2011-04-09 10:00:00
11,105.0,-3,19.0,1013.0,1.79,0,0,0,1,1,0,2011-04-09 11:00:00
12,103.0,-4,22.0,1012.0,4.92,0,0,0,1,1,0,2011-04-09 12:00:00
13,105.0,-5,25.0,1011.0,8.05,0,0,0,1,1,0,2011-04-09 13:00:00
14,107.0,-8,26.0,1010.0,12.07,0,0,0,1,1,0,2011-04-09 14:00:00
15,105.0,-7,26.0,1009.0,15.2,0,0,0,1,1,0,2011-04-09 15:00:00
16,102.0,-7,25.0,1008.0,18.33,0,0,0,1,1,0,2011-04-09 16:00:00
17,102.0,-8,24.0,1008.0,22.35,0,0,0,1,1,0,2011-04-09 17:00:00
18,100.0,-7,23.0,1008.0,26.37,0,0,0,1,1,0,2011-04-09 18:00:00
19,109.0,-6,23.0,1009.0,1.79,0,0,1,0,0,1,2011-04-09 19:00:00
20,107.0,-5,21.0,1011.0,4.92,0,0,1,0,0,1,2011-04-09 20:00:00
21,77.0,-4,21.0,1012.0,3.13,0,0,1,0,1,0,2011-04-09 21:00:00
22,80.0,-3,20.0,1013.0,8.94,0,0,1,0,1,0,2011-04-09 22:00:00
23,82.0,-6,18.0,1014.0,16.99,0,0,1,0,1,0,2011-04-09 23:00:00
0,,-5,15.0,1016.0,28.17,0,0,1,0,1,0,2011-04-10 00:00:00
1,50.0,-3,13.0,1018.0,37.11,0,0,1,0,1,0,2011-04-10 01:00:00
2,39.0,-2,12.0,1019.0,44.26,0,0,1,0,1,0,2011-04-10 02:00:00
3,24.0,-4,11.0,1019.0,52.31,0,0,1,0,1,0,2011-04-10 03:00:00
4,28.0,-12,11.0,1020.0,59.46,0,0,1,0,1,0,2011-04-10 04:00:00
5,14.0,-15,11.0,1022.0,4.02,0,0,1,0,0,1,2011-04-10 05:00:00
6,13.0,-16,11.0,1023.0,8.94,0,0,1,0,0,1,2011-04-10 06:00:00
7,11.0,-17,11.0,1024.0,12.96,0,0,1,0,0,1,2011-04-10 07:00:00
8,17.0,-17,12.0,1025.0,17.88,0,0,1,0,0,1,2011-04-10 08:00:00
9,15.0,-18,13.0,1025.0,25.03,0,0,1,0,0,1,2011-04-10 09:00:00
10,8.0,-17,14.0,1025.0,4.02,0,0,1,0,1,0,2011-04-10 10:00:00
11,10.0,-17,15.0,1025.0,3.13,0,0,0,0,0,0,2011-04-10 11:00:00
12,12.0,-17,16.0,1024.0,3.13,0,0,1,0,1,0,2011-04-10 12:00:00
13,12.0,-18,17.0,1023.0,1.79,0,0,0,0,0,0,2011-04-10 13:00:00
14,13.0,-16,19.0,1022.0,4.92,0,0,0,0,0,0,2011-04-10 14:00:00
15,14.0,-18,19.0,1021.0,7.15,0,0,1,0,0,1,2011-04-10 15:00:00
16,11.0,-19,19.0,1020.0,14.3,0,0,1,0,0,1,2011-04-10 16:00:00
17,10.0,-19,19.0,1020.0,23.24,0,0,1,0,0,1,2011-04-10 17:00:00
18,10.0,-20,18.0,1020.0,32.18,0,0,1,0,0,1,2011-04-10 18:00:00
19,11.0,-20,16.0,1020.0,37.99,0,0,1,0,0,1,2011-04-10 19:00:00
20,17.0,-19,13.0,1021.0,42.01,0,0,1,0,0,1,2011-04-10 20:00:00
21,91.0,-19,11.0,1022.0,45.14,0,0,1,0,0,1,2011-04-10 21:00:00
22,22.0,-19,11.0,1022.0,49.16,0,0,1,0,0,1,2011-04-10 22:00:00
23,16.0,-19,10.0,1022.0,53.18,0,0,1,0,0,1,2011-04-10 23:00:00
0,,-19,10.0,1023.0,56.31,0,0,1,0,0,1,2011-04-11 00:00:00
1,12.0,-19,9.0,1023.0,59.44,0,0,1,0,0,1,2011-04-11 01:00:00
2,8.0,-19,7.0,1023.0,63.46,0,0,1,0,0,1,2011-04-11 02:00:00
3,9.0,-20,11.0,1023.0,67.48,0,0,1,0,0,1,2011-04-11 03:00:00
4,14.0,-19,10.0,1023.0,70.61,0,0,1,0,0,1,2011-04-11 04:00:00
5,16.0,-14,6.0,1023.0,1.79,0,0,0,1,1,0,2011-04-11 05:00:00
6,14.0,-12,7.0,1024.0,0.45,0,0,0,0,0,0,2011-04-11 06:00:00
7,29.0,-16,10.0,1024.0,1.34,0,0,0,0,0,0,2011-04-11 07:00:00
8,24.0,-15,14.0,1024.0,3.13,0,0,1,0,0,1,2011-04-11 08:00:00
9,19.0,-16,15.0,1024.0,7.15,0,0,1,0,0,1,2011-04-11 09:00:00
10,16.0,-16,17.0,1023.0,11.17,0,0,1,0,0,1,2011-04-11 10:00:00
11,17.0,-14,18.0,1023.0,1.79,0,0,0,0,0,0,2011-04-11 11:00:00
12,13.0,-14,19.0,1021.0,2.68,0,0,0,0,0,0,2011-04-11 12:00:00
13,12.0,-14,20.0,1020.0,1.79,0,0,0,1,1,0,2011-04-11 13:00:00
14,10.0,-14,21.0,1019.0,1.79,0,0,0,0,0,0,2011-04-11 14:00:00
15,11.0,-16,22.0,1018.0,4.92,0,0,0,0,0,0,2011-04-11 15:00:00
16,12.0,-14,22.0,1017.0,4.92,0,0,0,1,1,0,2011-04-11 16:00:00
17,13.0,-13,21.0,1016.0,10.73,0,0,0,1,1,0,2011-04-11 17:00:00
18,18.0,-13,20.0,1016.0,17.88,0,0,0,1,1,0,2011-04-11 18:00:00
19,26.0,-12,17.0,1017.0,22.8,0,0,0,1,1,0,2011-04-11 19:00:00
20,27.0,-12,17.0,1017.0,27.72,0,0,0,1,1,0,2011-04-11 20:00:00
21,45.0,-11,17.0,1017.0,33.53,0,0,0,1,1,0,2011-04-11 21:00:00
22,49.0,-11,17.0,1017.0,39.34,0,0,0,1,1,0,2011-04-11 22:00:00
23,50.0,-9,15.0,1017.0,43.36,0,0,0,1,1,0,2011-04-11 23:00:00
0,51.0,-9,16.0,1017.0,3.13,0,0,0,0,0,0,2011-04-12 00:00:00
1,64.0,-4,10.0,1016.0,4.02,0,0,0,0,0,0,2011-04-12 01:00:00
2,67.0,-6,10.0,1016.0,3.13,0,0,0,1,1,0,2011-04-12 02:00:00
3,77.0,-5,8.0,1016.0,0.45,0,0,0,0,0,0,2011-04-12 03:00:00
4,85.0,-6,8.0,1016.0,0.89,0,0,1,0,0,1,2011-04-12 04:00:00
5,91.0,-5,4.0,1016.0,4.02,0,0,1,0,0,1,2011-04-12 05:00:00
6,88.0,-5,6.0,1016.0,0.89,0,0,0,0,0,0,2011-04-12 06:00:00
7,91.0,-5,8.0,1016.0,1.79,0,0,1,0,0,1,2011-04-12 07:00:00
8,103.0,-4,12.0,1016.0,0.89,0,0,0,0,0,0,2011-04-12 08:00:00
9,101.0,-4,15.0,1016.0,1.78,0,0,0,0,0,0,2011-04-12 09:00:00
10,88.0,-4,18.0,1016.0,3.57,0,0,0,0,0,0,2011-04-12 10:00:00
11,91.0,-4,20.0,1015.0,5.36,0,0,0,0,0,0,2011-04-12 11:00:00
12,99.0,-6,23.0,1014.0,3.13,0,0,0,1,1,0,2011-04-12 12:00:00
13,94.0,-5,24.0,1012.0,7.15,0,0,0,1,1,0,2011-04-12 13:00:00
14,101.0,-5,25.0,1011.0,11.17,0,0,0,1,1,0,2011-04-12 14:00:00
15,91.0,-4,26.0,1010.0,16.09,0,0,0,1,1,0,2011-04-12 15:00:00
16,73.0,-6,25.0,1009.0,23.24,0,0,0,1,1,0,2011-04-12 16:00:00
17,94.0,-5,25.0,1009.0,29.05,0,0,0,1,1,0,2011-04-12 17:00:00
18,88.0,-4,23.0,1009.0,33.97,0,0,0,1,1,0,2011-04-12 18:00:00
19,104.0,-3,19.0,1010.0,37.1,0,0,0,1,1,0,2011-04-12 19:00:00
20,145.0,-1,19.0,1010.0,38.89,0,0,0,1,1,0,2011-04-12 20:00:00
21,171.0,0,17.0,1011.0,40.68,0,0,0,1,1,0,2011-04-12 21:00:00
22,184.0,1,15.0,1011.0,42.47,0,0,0,1,1,0,2011-04-12 22:00:00
23,202.0,1,14.0,1011.0,43.36,0,0,0,1,1,0,2011-04-12 23:00:00
0,196.0,1,13.0,1011.0,0.89,0,0,0,0,0,0,2011-04-13 00:00:00
1,186.0,2,13.0,1011.0,1.78,0,0,0,0,0,0,2011-04-13 01:00:00
2,184.0,2,12.0,1011.0,2.67,0,0,0,0,0,0,2011-04-13 02:00:00
3,188.0,3,10.0,1011.0,1.79,0,0,0,1,1,0,2011-04-13 03:00:00
4,189.0,3,11.0,1011.0,0.89,0,0,0,0,0,0,2011-04-13 04:00:00
5,201.0,3,10.0,1011.0,0.89,0,0,1,0,1,0,2011-04-13 05:00:00
6,231.0,3,10.0,1012.0,0.89,0,0,0,0,0,0,2011-04-13 06:00:00
7,225.0,4,11.0,1013.0,1.79,0,0,1,0,0,1,2011-04-13 07:00:00
8,169.0,5,16.0,1013.0,0.89,0,0,0,0,0,0,2011-04-13 08:00:00
9,163.0,5,17.0,1013.0,1.78,0,0,0,0,0,0,2011-04-13 09:00:00
10,142.0,5,19.0,1013.0,1.79,0,0,1,0,1,0,2011-04-13 10:00:00
11,136.0,5,21.0,1013.0,1.79,0,0,0,1,1,0,2011-04-13 11:00:00
12,141.0,6,22.0,1012.0,5.81,0,0,0,1,1,0,2011-04-13 12:00:00
13,125.0,6,23.0,1011.0,8.94,0,0,0,1,1,0,2011-04-13 13:00:00
14,131.0,6,24.0,1010.0,12.07,0,0,0,1,1,0,2011-04-13 14:00:00
15,138.0,6,23.0,1009.0,16.09,0,0,0,1,1,0,2011-04-13 15:00:00
16,152.0,6,24.0,1008.0,20.11,0,0,0,1,1,0,2011-04-13 16:00:00
17,145.0,6,23.0,1009.0,23.24,0,0,0,1,1,0,2011-04-13 17:00:00
18,157.0,7,22.0,1009.0,25.03,0,0,0,1,1,0,2011-04-13 18:00:00
19,172.0,7,20.0,1009.0,0.89,0,0,0,0,0,0,2011-04-13 19:00:00
20,170.0,8,21.0,1009.0,4.02,0,0,0,1,1,0,2011-04-13 20:00:00
21,172.0,8,20.0,1010.0,7.15,0,0,0,1,1,0,2011-04-13 21:00:00
22,155.0,7,18.0,1010.0,0.89,0,0,0,0,0,0,2011-04-13 22:00:00
23,168.0,7,17.0,1009.0,1.78,0,0,0,0,0,0,2011-04-13 23:00:00
0,163.0,6,16.0,1009.0,2.67,0,0,0,0,0,0,2011-04-14 00:00:00
1,144.0,8,13.0,1009.0,3.56,0,0,0,0,0,0,2011-04-14 01:00:00
2,137.0,6,13.0,1008.0,3.13,0,0,1,0,0,1,2011-04-14 02:00:00
3,133.0,6,13.0,1008.0,4.02,0,0,1,0,0,1,2011-04-14 03:00:00
4,158.0,6,14.0,1007.0,0.89,0,0,0,0,0,0,2011-04-14 04:00:00
5,162.0,7,14.0,1007.0,1.78,0,0,0,0,0,0,2011-04-14 05:00:00
6,158.0,7,11.0,1007.0,1.79,0,0,1,0,0,1,2011-04-14 06:00:00
7,174.0,8,12.0,1007.0,3.58,0,0,1,0,0,1,2011-04-14 07:00:00
8,184.0,7,17.0,1007.0,6.71,0,0,1,0,0,1,2011-04-14 08:00:00
9,191.0,7,19.0,1007.0,9.84,0,0,1,0,0,1,2011-04-14 09:00:00
10,159.0,3,24.0,1006.0,13.86,0,0,1,0,0,1,2011-04-14 10:00:00
11,74.0,-4,27.0,1005.0,19.67,0,0,1,0,0,1,2011-04-14 11:00:00
12,27.0,-6,28.0,1004.0,27.72,0,0,1,0,0,1,2011-04-14 12:00:00
13,21.0,-6,29.0,1003.0,36.66,0,0,1,0,0,1,2011-04-14 13:00:00
14,21.0,-5,29.0,1001.0,39.79,0,0,1,0,0,1,2011-04-14 14:00:00
15,,-5,31.0,1001.0,1.79,0,0,0,0,0,0,2011-04-14 15:00:00
16,,-5,31.0,1000.0,8.05,0,0,1,0,0,1,2011-04-14 16:00:00
17,,-6,30.0,1000.0,15.2,0,0,1,0,0,1,2011-04-14 17:00:00
18,,-5,30.0,1000.0,19.22,0,0,1,0,0,1,2011-04-14 18:00:00
19,,-2,26.0,1000.0,5.81,0,0,0,1,1,0,2011-04-14 19:00:00
20,,0,25.0,1001.0,10.73,0,0,0,1,1,0,2011-04-14 20:00:00
21,,-1,25.0,1001.0,15.65,0,0,0,1,1,0,2011-04-14 21:00:00
22,,0,25.0,1001.0,21.46,0,0,0,1,1,0,2011-04-14 22:00:00
23,,1,24.0,1001.0,3.13,0,0,1,0,0,1,2011-04-14 23:00:00
0,53.0,0,19.0,1002.0,8.05,0,0,1,0,0,1,2011-04-15 00:00:00
1,,-3,18.0,1002.0,11.18,0,0,1,0,0,1,2011-04-15 01:00:00
2,,-3,18.0,1002.0,12.97,0,0,1,0,0,1,2011-04-15 02:00:00
3,,-3,16.0,1004.0,4.92,0,0,1,0,1,0,2011-04-15 03:00:00
4,,-5,19.0,1005.0,10.73,0,0,1,0,1,0,2011-04-15 04:00:00
5,,-3,19.0,1007.0,17.88,0,0,1,0,1,0,2011-04-15 05:00:00
6,,-3,19.0,1008.0,5.81,0,0,1,0,0,1,2011-04-15 06:00:00
7,,-3,19.0,1010.0,9.83,0,0,1,0,1,0,2011-04-15 07:00:00
8,,-4,20.0,1011.0,8.94,0,0,1,0,0,1,2011-04-15 08:00:00
9,,-8,20.0,1012.0,17.88,0,0,1,0,0,1,2011-04-15 09:00:00
10,,-7,21.0,1013.0,8.05,0,0,1,0,1,0,2011-04-15 10:00:00
11,,-8,22.0,1013.0,7.15,0,0,1,0,0,1,2011-04-15 11:00:00
12,,-8,23.0,1013.0,8.05,0,0,1,0,1,0,2011-04-15 12:00:00
13,28.0,-8,23.0,1012.0,13.86,0,0,1,0,1,0,2011-04-15 13:00:00
14,26.0,-6,23.0,1012.0,19.67,0,0,1,0,1,0,2011-04-15 14:00:00
15,27.0,-6,24.0,1012.0,24.59,0,0,1,0,1,0,2011-04-15 15:00:00
16,25.0,-6,23.0,1012.0,29.51,0,0,1,0,1,0,2011-04-15 16:00:00
17,,-6,23.0,1012.0,33.53,0,0,1,0,1,0,2011-04-15 17:00:00
